"id","name","equipment","pattern","prompt"
"preacher-curl","Preacher Curl","barbell","curl","Preacher Curl with a barbell: standing, curling the weight up toward the shoulders, biceps contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"spider-curl","Spider Curl","barbell","curl","Spider Curl with a barbell: standing, curling the weight up toward the shoulders, biceps contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"drag-curl","Drag Curl","barbell","curl","Drag Curl with a barbell: standing, curling the weight up toward the shoulders, biceps contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"reverse-curl","Reverse Curl","barbell","curl","Reverse Curl with a barbell: standing, curling the weight up toward the shoulders, biceps contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"skull-crusher","Skull Crusher","barbell","triceps","Skull Crusher with a barbell: extending the elbows to straighten the arms, triceps contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"jm-press","JM Press","barbell","triceps","JM Press with a barbell: extending the elbows to straighten the arms, triceps contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"barbell-wrist-curl","Barbell Wrist Curl","barbell","curl","Barbell Wrist Curl: standing, curling the weight up toward the shoulders, biceps contracted. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-bench-press","Dumbbell Bench Press","dumbbell","bench_press","Dumbbell Bench Press: lying on a flat bench, pressing the weight up over the chest. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"incline-db-press","Incline Dumbbell Press","dumbbell","incline_press","Incline Dumbbell Press: on an inclined bench pressing the weight up and back. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"decline-db-press","Decline Dumbbell Press","dumbbell","bench_press","Decline Dumbbell Press: lying on a flat bench, pressing the weight up over the chest. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-shoulder-press","Dumbbell Shoulder Press","dumbbell","overhead_press","Dumbbell Shoulder Press: standing, pressing the weight straight overhead to lockout. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"arnold-press","Arnold Press","dumbbell","overhead_press","Arnold Press with a dumbbell: standing, pressing the weight straight overhead to lockout. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-lateral-raise","Dumbbell Lateral Raise","dumbbell","lateral_raise","Dumbbell Lateral Raise: raising the arms out to the sides up to shoulder height. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-front-raise","Dumbbell Front Raise","dumbbell","lateral_raise","Dumbbell Front Raise: raising the arms out to the sides up to shoulder height. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-rear-delt-fly","Dumbbell Rear Delt Fly","dumbbell","lateral_raise","Dumbbell Rear Delt Fly: raising the arms out to the sides up to shoulder height. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-row","Dumbbell Row","dumbbell","row","Dumbbell Row: torso hinged forward, pulling the weight to the waist, elbows driving back. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
"db-pullover","Dumbbell Pullover","dumbbell","pulldown","Dumbbell Pullover: seated at a pulldown station, pulling the bar down to the chest. Minimalist 3D illustration of a faceless, featureless matte-gray mannequin (no face, no hair, no skin detail, like a smooth wooden artist's drawing dummy). Dark navy background #0B0E14, soft studio lighting with a subtle blue-to-purple rim light (#3D9BE9 to #9B6DFF), clean modern fitness-app icon style, flat soft shadows, single centered subject, full body in frame, no text, no logos, no real humans. Square 1:1."
